ProteinId	UVM4_1	UVM4_2	UVM4_3	Stop1_1	Stop1_2	Stop1_3	Stop12_1	Stop12_2	Stop12_3	HA5_1	HA5_2	HA5_3	HA11_1	HA11_2	HA11_3	Synonyms
Cre09.g388467.t1.1	0.264091784087826	0.257170361672531	6.65683251923376	0.235914290873338	0.250682749884826	0.243844831124123	0.237363789940165	0.252088700103042	0.235405009485795	0.236290932127046	0.257155755974039	0.246296205036046	0.269458601787038	0.248070590628688	0.248206122222807	GDI1
Cre11.g474800.t1.2	0.0996458818765979	0.099291123827683	0.0801130948238336	0.100458636193158	0.0699930420889955	0.0865537193707591	0.0813452998182591	0.0673937170107888	0.0719329921747265	0.0637996077707259	0.0713246735611486	0.074463652749938	0.0715523537413874	0.069273489670385	0.0630841020173587	OTA1
Cre11.g467770.t1.1	2.48378502066881	2.42903085109362	2.46737121763373	2.52004121645318	2.40852636397843	2.64964520861411	2.41774815135377	2.61693203471826	2.43222454852446	2.42299212192877	2.64655330989944	2.63086342735025	2.64372851415009	2.56308744718816	2.6022185900987	PGK1
Cre16.g654950.t1.1	0.0583019651780957															SRR3
Cre12.g535851.t1.1	0.710155251809788	0.78264834832825	0.891967697359097	0.801439371282352	0.917214655176882	0.746007328644758	0.656795880108891	0.573488847690688	0.700516260874155	0.802689152162246	0.915418866897702	0.796338532005109	0.700091282131069	0.717292017088799	0.749070784916632	RPL8
Cre02.g108450.t1.2	0.0733454427669735	0.0540308287355373	0.0902160820472843	0.026814208021094	0.00918687410726888	0.0411711159124909	0.0417492687105021	0.0502707247252947	0.0455653535677926	0.00783105406881629	0.163075562634935	0.0163055411111889	0.0483699128788026	0.0429369921986233	0.0163588143931286	FAP280
Cre06.g310750.t1.2	0.179934822050797	0.159850035491488	0.18634231557379	0.179479516617826	0.191469395468667	0.192581367868599	0.157766343078543	0.172451586347795	0.180675607092994	0.155475807777423	0.166493150162425	0.160111293802082	0.164454972788153	0.170192103439438	0.153753466575582	COPG1
Cre10.g451950.t1.2	0.292974043820437	0.296563126480365	0.302690250033887	0.614635814542838	0.305353611567731	0.250379032800876	0.283269099013994	0.260146161346807	0.319876767439205	0.408235394078498	0.290277635599191	0.284061552752111	0.341685924393691	0.306213212068869	0.310834008190544	AAT1
Cre09.g386750.t1.2	0.724538152499166	0.759876705547834	0.757663866479399	0.811743518474542	0.799246861038695	0.823709174120885	0.715531803652921	0.73414670699565	0.73589539353413	0.822323437275058	0.776720608242561	0.886401453928182	0.824297608226011	0.82335327043429	0.874167498976687	HSP90A
Cre17.g726750.t1.2	0.244088259016853	0.245548414480738	0.209023469007641	0.247640765877221	0.251865749004577	0.249390328949269	0.259438619290019	0.257635544623915	0.260662538419469	0.264491361535177	0.267961649461222	0.286492128984682	0.255552231808078	0.251654389249972	0.248710874800443	SHKA1
Cre01.g018800.t1.2	0.0957287162257206	0.11841490052144	0.136495423612548	0.0931587761594075	0.117541714809469	0.105735895323338	0.0953808539152979	0.0893893875802125	0.106536395986107	0.113837677228345	0.104776083173057	0.0898674468262838	0.120541939742565	0.0888140767072304	0.10881204368563	ATP6
Cre03.g146527.t1.1	0.0858149213324776	0.0807142970402057	0.116006820701763	0.091427685624168	0.101980333537988	0.0937980444313677	0.0775744071102465	0.087402322250376	0.0858857359717073	0.0974431502860539	0.0770639662761458	0.0958474893358641	0.102675439081022	0.0959285766643328	0.102459197638962	GSD1
Cre17.g719900.t1.2	0.0383060196101518	0.0630111656071368	0.0582957358148021	0.073106645541779	0.0583340199022463	0.0710280196007363	0.0653325259822926	0.0493530383559989	0.0450272804961493	0.0455885786030017	0.0504401544690083	0.0741586717742867	0.0484169967290434	0.0717897897945642	0.0675992381119689	PWD1
Cre17.g734100.t1.2	0.267896819440126	0.282845602930797	0.246689092821222	0.293764518935925	0.321898846430788	0.298378047138598	0.244362221595538	0.266931542010772	0.26127146090086	0.280975296115559	0.264740759299505	0.284771318741387	0.247656311676758	0.259490113276728	0.261874021344978	
Cre11.g467689.t1.1	0.360655065419453	0.224496930345065	0.330246251616153	0.254183979618484	0.272169508423425	0.273966141120052	0.417822527769496	0.309324397629665	0.297948734249239	0.257592037952291	0.258574017892948	0.26344963460458	0.231035537996191	0.17177221154171	0.296428264076868	PETC
Cre-1.g2717002.t1.p1	3.69963137329279	3.97808321875888	4.82862336250342	4.36691306788086	4.93348456834741	4.42017138878786	4.30390421765806	4.02584825914575	4.23368967486184	4.40479001397167	4.90599491097782	4.19353272689006	5.09728122186952	4.89943593110847	5.01820343133734	psbB
