prot_ID	Abund_amolpercell
P23577	0.467664413681401
P23230	0.114664215077352
P36437	0.0115321098363053
Q00471	0.327696134715418
P12154	0.717969350613641
P07891	0.201771419391424
P22666	2.18998535933174
P37255	0.860229955237795
P48268	0.386192060668381
Q08363	0.258797315582595
P32974	0.196455748328706
P09144	0.701086588463199
P00877	0.403478844788487
P26526	2.02517822974219
Q8HTL5	0.506414162551586
P59777	0.0129279758106279
O63075	0.1310542268746
P06007	0.420660787424067
P10898	0.804558330628581
Q00914	2.79431944197056
P08739	0.204366998968722
P11658	0.033863902674739
Cre-1.g000035.t1.p1	0.0570694858785821
Cre-1.g2716952.t1.p1	0.131685388056467
Cre-1.g2716955.t1.p1	0.156963084561877
Cre-1.g2716962.t1.p1	0.0110889008534645
Cre-1.g2716973.t1.p1	0.10528734233566
Cre-1.g2716974.t1.p1	0.103031354409012
Cre-1.g2716979.t1.p1	0.243515347612452
Cre-1.g2716987.t1.p1	0.353714495579749
Cre-1.g2716992.t1.p1	0.0310048897669245
Cre-1.g2716993.t1.p1	0.0371151837321416
Cre-1.g2716997.t1.p1	0.15252200350824
Cre-1.g2716998.t1.p1	0.021510066664602
Cre-1.g2717001.t1.p1	0.356719821193366
Cre-1.g2717004.t1.p1	0.0284166730928765
Cre-1.g2717005.t1.p1	0.178754968373676
Cre-1.g2717006.t1.p1	0.11986690406589
Cre-1.g2717007.t1.p1	0.270775792459008
Cre-1.g2717008.t1.p1	0.0571043155689574
Cre-1.g2717009.t1.p1	0.131391597345187
Cre-1.g2717010.t1.p1	0.185844701009008
Cre-1.g2717012.t1.p1	0.183886178469276
Cre-1.g2717015.t1.p1	0.0385263643160461
Cre-1.g2717031.t1.p1	0.0851582517546272
Cre-1.g2717034.t1.p1	0.899068987072371
Cre-1.g2717036.t1.p1	0.354262857950957
Cre-1.g2717049.t1.p1	0.0159029059798829
Cre-1.g2717050.t1.p1	0.0272472569814632
Cre-1.g2717054.t1.p1	0.248696981010824
Cre-1.g2717055.t1.p1	0.131125849823143
Cre-1.g2717056.t1.p1	0.235078764507691
Cre-1.g2717057.t1.p1	0.211481353546188
Cre-1.g2717058.t1.p1	0.192152233805494
Cre-1.g2717059.t1.p1	0.105657888272718
Cre-2.g801495.t1.p1	0.721581360459642
A0A2K3E4N1	0.15509556428281
A0A2K3E4N6	0.00785955582575305
A8JD41	0.013192962270072
A0A2K3E4Q3	0.0671854794938884
A0A2K3E4N7	0.0409837020379031
A0A2K3E4Q0	0.0117876519922937
A0A2K3E4P4	0.616774236650471
A8JD56	0.190085964442229
A0A2K3E4V9	0.0117446435983791
A0A2K3E4W7	0.0202925392172791
A8JD64	0.201521321720058
A0A2K3E4R9	0.0143936714063575
A0A2K3E4U8	0.0372680130399118
A0A2K3E4Y3	0.0382090058009025
A0A2K3E4T1	0.458024617995093
A0A2K3E4Y1	0.0287071988166933
A0A2K3E4T8	0.0588860636126375
A0A2K3E4U6	0.122503022018912
Q6JX09	0.00552923007825741
A0A2K3E4W2	0.0128132322775242
A0A2K3E4X3	0.021998969974974
A8JG07	0.0459975804896516
A0A2K3E4X9	0.016020291121504
A8JG05	0.0590054034975896
A0A2K3E4Y0	0.0787165247695438
A8JG03	0.0909027556354844
A0A2K3E4Y8	0.116059185987794
A8JFZ4	0.158446159402403
A8JFZ2	0.116700628290725
A8JFY9	0.111380406518762
Q27YU4	0.00773151828585061
A0A2K3E526	0.0754166556672108
A0A2K3E513	0.0219727536718462
A8JCY4	0.0639162874965066
A0A2K3E5A4	0.0323517133710648
A0A2K3E592	0.066569538726916
A0A2K3E565	0.0123333066261356
A8JCW1	0.130415270275014
A0A2K3E587	0.014312325136413
A0A2K3E5A5	0.0268308470693091
Q9FXT7	0.0132252916808972
A8HP72	0.188308344459841
A0A2K3E5G0	0.0374270024578649
A0A2K3E5D8	0.0411243253764078
A8HP84	0.777165381900951
A8HP90	0.279816756313841
A0A2K3E5J2	0.0458789325224877
A0A2K3E5K9	0.0337785694993996
A0A2K3E5K0	0.0340297451196464
A0A2K3E5H3	0.0157860383058844
A0A2K3E5G9	0.00742507929396435
A0A2K3E5H9	0.110787654627688
A0A2K3E5I4	0.0889464797124323
A0A2K3E5I9	0.0385806631064182
A0A2K3E5J0	0.0134920137021447
A0A2K3E5M7	0.0124910059005902
A0A2K3E5K4	0.0122393325605248
A8HPE9	0.0229338490850211
A0A2K3E5P4	0.0339010448015861
A8HPF4	0.361545902693879
A0A2K3E5Q7	0.0130978882213477
A0A2K3E5T6	0.0658002446542692
A0A2K3E5M6	0.0262031812554938
A8HPG8	0.0602676156998819
A0A2K3E5Q0	0.0212986261959861
A8HPI1	0.0928360321830443
A0A2K3E5P8	0.0234922915942906
A8HPJ2	0.216872080308271
A0A2K3E5R0	0.0164273572927365
A0A2K3E5U6	0.0210485575085636
A0A2K3E5Q8	0.0178949907747741
A0A2K3E5T3	0.0165747309696622
A0A2K3E5V6	0.154101534511482
A0A2K3E5S1	0.124361569964333
A0A2K3E5R9	0.020287293542341
A0A2K3E5T0	0.0250958711270375
A8HPM8	0.432303943289596
A0A2K3E5T9	0.0307416192512723
A8HPN4	0.0409095848953566
A0A2K3E5W2	0.0652514175877276
A0A2K3E5U2	0.0380797813615282
A0A2K3E5W4	0.0588593639517236
Q8RVB8	0.161192496936547
A0A2K3E5Y2	0.0103756190917778
A8HPS2	0.158765601728553
A8HPS9	0.0300615669715229
A0A2K3E657	0.0193057763331126
A0A2K3E613	0.094949307625993
A0A2K3E626	0.118741457082075
A8HPU2	0.0842091539422541
A8HPU4	0.0076562067960484
A0A2K3E651	0.0633340344451533
A0A2K3E650	0.0279008175161665
A0A2K3E616	0.0195688365684187
A0A2K3E625	0.0644197456687421
A0A2K3E660	0.0393145504603162
A0A2K3E635	0.0144486134343233
A0A2K3E652	0.0257626966026263
A0A2K3E681	0.00774432030988847
A8HPY0	0.0247755174756296
A8HPY4	0.0387639493054764
A0A2K3E673	0.0532507867179125
U3U3P6	3.18460071923053
A0A2K3E6E4	0.0380622595188286
A0A2K3E6A7	0.0474099406892926
A8HQ14	0.0460025771752706
A8HQ21	0.15154026847326
A0A2K3E6D4	0.00608441710252774
A0A2K3E6B3	0.0405018965525106
A0A2K3E6F2	0.0395644722008623
A0A2K3E6E5	0.0409062342626368
A0A2K3E6B1	0.0283797233603371
A8HQ72	0.0673844541261887
A0A2K3E6E9	0.0627932653069502
A8HQ77	0.0249811393363305
A0A2K3E6F5	0.0327833377241265
A8HQ81	0.372716748575028
A0A2K3E6F3	0.00784669933854691
A0A2K3E6I5	0.0438036609504513
A0A2K3E6G3	0.0540427400795853
A0A2K3E6N7	0.198251038057627
A8HQ97	0.0436850611423759
